task_name	task_prefix	prompt	prompt_len
superglue-rte	superglue-rte_16_100	"Based on the premise, is the hypothesis true?
premise: There is a growing sense of urgency to deal with the country's social issues, and a large number of professional NGOs can meet BOVESPA's standards of transparency and accountability. hypothesis: BOVESPA is an NGO. answer: no
premise: I think we've already seen the effect on oil and gas prices, said economist Kathleen Camilli of New York-based Camilli Economics. hypothesis: Kathleen Camilli works for Camilli Economics. answer: yes
premise: There is 'no indication of any security related event' that brought the plane down, said FBI spokesman Richard Kolko. Conditions of freezing drizzle, known as hard rime, were the most likely cause of the tragedy. The National Transportation Safety Board (NTSB) has announced that they would send a team to the crash site on Friday to begin the investigation. Lorenda Ward will serve as chief investigator with the assistance of NTSB Commissioner Steven Chealander and public affairs officer Keith Holloway. Ward has investigated several other plane crashes --including the 2006 New York City plane crash that claimed the life of New York Yankees pitcher Corey Lidle. hypothesis: Corey Lidle was a resident of New York City. answer: no
premise: In the glamorous, exclusive world of French haute couture, Sakina M'Sa is an unlikely star. Like her creations, M'Sa is the sum of many parts - a tiny woman from the Comoros, an immigrant from a working-class neighbourhood in Marseille, and a designer who follows her own dreams and embroiders the fashion world with a social conscience. ""My only strength in life is my difference,"" says M'Sa, dressed all in black and sitting in her workshop and showroom in La Goutte d'Or, a working-class neighbourhood in Paris which is home to a large population of Africans. hypothesis: Sakina M'Sa has Comoros origins. answer: yes
premise: The U.S. space shuttle Atlantis, its lights flashing like a beacon, smoothly docked with Russia's space station Mir Wednesday on its mission to pick up U.S. astronaut Shannon Lucid, who has spent a record-breaking six months in orbit. hypothesis: US shuttle Atlantis docks with the Mir space station. answer: yes
premise: LISBON, Jan. 22 (Xinhuanet) -- Anibal Cavaco Silva, a former prime minister, won Portugal's presidential election on Sunday. hypothesis: New Portuguese prime minister is elected. answer: no
premise: He has borrowed a clutch of bright ideas from Bill Clinton's favorite think-tank, the Democratic Leadership Council, and endorsed Medicare reforms suggested by one of the Democratic Party's brightest luminaries, Louisiana's John Breaux. hypothesis: Bill Clinton belongs to the Democratic Party. answer: no
premise: Even more than other economic activities, Mexico's financial services are concentrated in the capital. hypothesis: Industry, retail stores, finance, and communications are all centered in the capital. answer: yes
"	691
superglue-rte	superglue-rte_16_13	"Based on the premise, is the hypothesis true?
premise: He said that ""there is evidence that Cristiani was involved in the murder of the six Jesuit priests"" which occurred on 16 November in San Salvador. hypothesis: Cristiani killed six Jesuits. answer: no
premise: LIMA, Peru --  A Venezuelan opposition leader who says he is a victim of political persecution by President Hugo Chavez's government requested political asylum in Peru on Tuesday, one of his lawyers said. Manuel Rosales, a leading Chavez opponent, has been charged with corruption in Venezuela but says his trial would not be fair. Lawyer Javier Valle-Riestra said there is ""convincing evidence"" supporting his case for asylum and that Peru's foreign ministry should summon Rosales to explain his request within a week. Peruvian Foreign Minister Jose Antonio Garcia Belaunde said earlier Tuesday that Rosales entered Peru as a tourist on April 4. hypothesis: Rosales lost a presidential race to Chavez in 2006. answer: no
premise: Getty also starred in several movies after the show including Mask where she played the mother of singer and song writer Cher and Stop! Or My Mom Will Shoot where she also played the mother of actor Sylvester Stallone. She also starred in the television show spin off of The Golden Girls titled The Golden Palace and made a two episode appearance on another spin off called Empty Nest. Getty was born in New York City on July 25, 1923, passing away just three days before her 85th birthday. hypothesis: Stallone played Getty's father. answer: no
premise: On 24 March 1992, the number 3 power generating unit at the Leningrad Atomic Power Station in Sosnovyi Bor underwent an emergency shutdown. The plant suffered a steam leak, which spewed a total of some 3 thousand curies into the atmosphere. hypothesis: Nuclear Power Plant of Sosnovyi Bor suffers an emergency shut down. answer: yes
premise: Al-Qaida-linked militants have carried out a series of suicide bombings targeting Western interests in Indonesia since 2002. hypothesis: Since 2002 Al-Qaida militants have tried to hit Western interests in Indonesia. answer: yes
premise: The recent 14% hike in third class postage rates, accompanied by simultaneous double-digit paper price increases, has hit smaller catalogers especially hard. hypothesis: The cost of paper is rising. answer: yes
premise: WASHINGTON - On the mornings he is in town, Dick Cheney wakes up at 6, climbs into his black sport utility vehicle and drives himself to a Starbucks near his McLean, Va., home. He returns with a pair of grande skim lattes -- decaf for him, regular for his wife, Lynne -- and settles into work in the sun-drenched office above his garage, penning his memoir in longhand on yellow legal pads. It is the kind of scene that Americans have come to expect from their elder statesmen: a quiet, unassuming return to private life after giving up power. Except, that is, for the quiet and unassuming part. hypothesis: Dick Cheney is the former Vice President. answer: no
premise: BTA said those injured in the fire at Borovets, 22 miles southeast of Sofia, were from Britain, the Soviet Union, West Germany, the Netherlands, Greece and Denmark. hypothesis: Sofia is located in Britain. answer: no
"	754
superglue-rte	superglue-rte_16_21	"Based on the premise, is the hypothesis true?
premise: The terror attacks, it was clear, had blasted a hole in the dam holding back Mumbai's reservoir of woes. While the protesters seemed to be reacting to a tragedy that had left at least 164 people dead and 308 injured, they were really venting the frustrations of having to cope with life in a city with an infrastructure so stretched that simply getting to work and back is an ordeal. At peak hour, the commuter trains - which carry six million people each day - are packed with up to 5,000 commuters, even though they're built for 1,800. Every day, an average of 11 people die on the railway system, either because they fall off the trains or because they're hit by passing locomotives as they cross the tracks. hypothesis: 11 people died in the terror attacks in Mumbai. answer: no
premise: Euro Disney is one of the most popular theme parks of USA. hypothesis: Euro-Disney is an Entertainment Park. answer: no
premise: Women are poorly trained for politics. hypothesis: Women are poorly represented in parliament. answer: no
premise: King Tut Tomb Fetuses May Reveal Pharaoh's Mother - Egypt Mummies Moved for DNA Tests; Pharaoh Among Them? - March 30, 2009--Researchers may have finally come face-to-face with the real--and wrinkled--Nefertiti, thanks to sophisticated CT scanning technology. A carefully carved limestone face in the inner core of the Egyptian queen's famous bust (above, right) has emerged in new images, a new study says. The object, currently on display in Berlin's Altes Museum, was discovered in 1912 during an excavation of the studio of Egyptian royal sculptor Thutmose. The artist had sculpted Nefertiti--wife of Pharaoh Akhenaten--more than 3,300 years ago. hypothesis: Nefertiti was the stepmother of King Tutankhamen. answer: no
premise: Brooklyn Borough Hall featured a Who's Who in New York's literary community during the second annual Brooklyn Book Festival. According to Brooklyn Borough President Marty Markowitz, the borough's zip code 11215 boasts more authors than anywhere else in the country. It appeared to be the case on Sunday. More than 100 authors were featured at the day-long event, including The Basketball Diaries writer Jim Carroll, former M*A*S*H star Mike Farrell, author and illustrator Mo Willems, Jack Kerouac's sometime lover and National Book Critics Circle Award recipient Joyce Johnson and PEN American Center President Francine Prose. hypothesis: The Brooklyn Book Festival is held in Brooklyn Borough every year. answer: yes
premise: Investigators described the gunman as white, about 30 years old, of medium build with shoulder-length, wavy blond hair and as having a ""scruffy"" or ""grunge"" appearance. hypothesis: The gunman is described as a white male in his 30s with a medium build, shoulder-length blonde hair and an unkempt appearance. answer: yes
premise: Most recently, US Secretary of State Condoleezza Rice called North Korea an ""outpost of tyranny"" enraging Kim Jong-il , the leader of North Korea. hypothesis: Condoleezza Rice is the U.S. Secretary of State. answer: yes
premise: Wilder and his colleagues are cautious about their results also because the data do not make clear whether it was the anesthesia that contributed to the children's learning deficits, or whether it was an underlying condition that may have required surgery and precipitated the learning problems. Of the more than 5,000 babies studied, 593 needed at least one surgery and just over 100 infants needed more than two before age 3. There may be something unusual about this population of children that could have made them vulnerable to learning problems and required they undergo surgery and anesthesia. hypothesis: Anesthesia causes learning disabilities. answer: no
"	900
superglue-rte	superglue-rte_16_42	"Based on the premise, is the hypothesis true?
premise: The U.S. space shuttle Atlantis, its lights flashing like a beacon, smoothly docked with Russia's space station Mir Wednesday on its mission to pick up U.S. astronaut Shannon Lucid, who has spent a record-breaking six months in orbit. hypothesis: US shuttle Atlantis docks with the Mir space station. answer: yes
premise: As late as 1799, priests were still being imprisoned or deported to penal colonies and persecution only worsened after the French army led by General Louis Alexandre Berthier captured Rome and imprisoned Pope Pius VI, who would die in captivity in Valence, Drome, France in August of 1799. hypothesis: Alexandre Berthier died in 1799. answer: no
premise: No, we don't get any business from beach traffic, said Butler, whose Men's Shop is located in a small strip mall behind Krispy Kreme on Palmetto. hypothesis: Men's Shop is owned by Butler. answer: yes
premise: Nick Leeson was jailed for fraud following the collapse of Barings Bank in 1995. He had run up losses of 850m on the Far East stock markets. hypothesis: Nick Leeson was arrested for collapse of Barings Bank PLC. answer: yes
premise: Olson, 62, previously worked as a partner at Ernst & Young LLP, as a Minnesota bank president and as a congressional aide, before joining the Fed board in 2001, to serve a term ending in 2010. hypothesis: Olson is a member of the Fed board. answer: yes
premise: The capacity people have to adjust and make peace with a new situation, even if they feel vulnerable, is really remarkable, said Randy Quevillon, chair of the psychology department and the Disaster Mental Health Institute at the University of South Dakota. hypothesis: Randy Quevillon is employed at the University of South Dakota. answer: yes
premise: The new Interstate 35W St. Anthony Falls Bridge in Minneapolis, Minnesota, United States was opened shortly after 5 AM today. It replaces a bridge which collapsed last year, killing 13 people. A fire engine and ambulance were first across on each side. In each direction, a line of State Highway Patrol cars was followed by a formation of Department of Transportation construction trucks. A cluster of awaiting vehicles went honking across for a few minutes, then traffic returned to the sparse levels more typical of the pre-dawn period. The September 18 opening was well ahead of the scheduled December 24 goal, earning the contractor, Flatiron-Manson, up to $19.6 million in performance bonuses. The bridge is 189 feet wide, with a main span length of 504 feet and a deck height of over 100 feet above the Mississippi River. hypothesis: Interstate 35W St. Anthony Falls Bridge crosses the Mississippi River. answer: yes
premise: Startling new research into mobile phones claims they may reduce a man's sperm count by up to 30%. hypothesis: Male fertility may be affected by use of a mobile phones. answer: yes
"	690
superglue-rte	superglue-rte_16_87	"Based on the premise, is the hypothesis true?
premise: Brad Pitt is causing havoc on his school run. The handsome actor has been spotted taking his kids to school in New York, causing local mothers to fight over who drives all their children in the mornings, in the hope of meeting the star. A source said: ""Moms are fighting over who gets to carpool the kids to school. They are all dressing up and are desperate to meet him."" Brad, 45, has taken on the duty of driving adopted boys Maddox, eight, and Pax, five, to class while his partner Angelina Jolie shoots her latest film 'Salt'. The couple also raise four other children, adopted daughter Zahara, four, and their naturally conceived children Shiloh, two, and eight-month-old twins Vivienne and Knox. hypothesis: Brad Pitt is 45 years old. answer: yes
premise: 20 million years ago there were apes, and by 5 million years ago our closest ancestors and cousins, early ape-humans, had split from the other apes. hypothesis: Humans existed 10,000 years ago. answer: no
premise: After the service, Lennon left the cathedral, made his way through a crush of reporters and television cameras and talked briefly with protesters, some of whom say they are victims of abusive priests. hypothesis: After the service, Lennon attempted to speak to victims and protesters. answer: yes
premise: The terrorist is suspected of being behind several deadly kidnappings and dozens of suicide attacks in Iraq. hypothesis: Terrorist kidnaps dozens of Iraqis. answer: no
premise: Sierra is likely to remain in jail at the Hillsborough County jail in her native Tampa until her next hearing on December 20, where she is being held without bail, which would prevent her attending the Washington event on Friday even if she still had permission to perform. Sierra has been in jail since the start of the month after an altercation with police officers outside a Tampa nightclub, which she had been ejected from. She is charged with disorderly intoxication and resisting arrest. hypothesis: Sierra once reached the finals of ""American Idol"". answer: no
premise: Yunus, who shared the 1.4 million prize Friday with the Grameen Bank that he founded 30 years ago, pioneered the concept of ""microcredit."" It allows very poor people, who don't qualify for traditional loans, to get loans of as little as a few dollars without collateral. The banks' shareholders are the impoverished people it supports. hypothesis: Yunus founded the Grameen Bank 30 years ago. answer: yes
premise: Ruth's 1927 single season record of 60 home runs stood unsurpassed until Roger Maris hit 61 in 1961. hypothesis: Babe Ruth hit 60 home runs in his lifetime. answer: no
premise: Facebook was founded by Mark Zuckerberg, an individual web developer looking to make friends at Harvard University. Although Facebook has been sued by ConnectU.com for allegedly copying its concept and data, Facebook is actually the first worldwide college network on the Internet. As one of the most popular college websites, Facebook is notable for its lack of prominent advertising. It quickly accumulated $50,000 in debt in 2004, and it took nearly a year for it to begin turning a profit, so clearly it needed a large amount of venture capital. hypothesis: Mark Zuckerberg invented Facebook. answer: yes
"	760
tweet_eval-sentiment	tweet_eval-sentiment_16_100	"What is the sentiment of the tweet? Negative, neutral, or positive?
tweet: ""Tony Romo better not fuck up tonight , I'm just hoping"" sentiment: negative
tweet: Sunday 7/19 is National Ice Cream Day and we're celebrating with  $1 Vanilla cones! Come on by 4th &amp; Osuna Sunday from 12 to 5. sentiment: positive
tweet: ""Then I think to myself I can't go to Biola, UCLA, and  USC, and see them all&be back by the time I have to work tomorrow...sorry guys.."" sentiment: negative
tweet: ""I feel like a kid before xmas, i cannot wait to get oneRT @user In case you missed it...Nokia N9 release date sentiment: positive
tweet: Most annoying twat ever! But she brought Dunkin so I may just talk to her today... sentiment: negative
tweet: Check Out Charlie Rose with Adel al-Jubeir; Bill Carter (March 5\u002c 2002): Adel al-Jubeir\u002c adviser to the Crown Pr... sentiment: neutral
tweet: ""Excellent gig Friday, Pantera &amp; Iron Maiden tribute bands. Those are the times you wished you hair to head bang : ) #heavymetal"" sentiment: positive
tweet: ""I want one @user Who's wants one, CHRIS RENE Tshirts @user 18th Tmrw!"" sentiment: positive
"	330
tweet_eval-sentiment	tweet_eval-sentiment_16_13	"What is the sentiment of the tweet? Negative, neutral, or positive?
tweet: @user My bag got checked at the Edwards Mira Mesa this past Saturday. I was going to see """"Paper Towns."""" :p"" sentiment: positive
tweet: @user ""I hope the Apple event tomorrow is a 6s"" sentiment: positive
tweet: @user my point was that just your fathers fear of Islam may actually stem from its similarities to Judaism sentiment: negative
tweet: ""Derrick Rose may be the worst at doing press conferences, he can't talk to save his life"" sentiment: negative
tweet: Really think @user should have @user as a guest for Bad Blood at the show Oct 17 in Dallas sentiment: neutral
tweet: ""On this day in September 3, 2012~ #RAW: John Cena vs. Alberto Del Rio sentiment: neutral
tweet: Strong 2nd set by Dons evens it at 1-1 vs BYU. Let's finish this one out here at The Hilltop! #godons #aimhigher. sentiment: neutral
tweet: Tomorrow's Barbarians game at West Harrow has been postponed due to the weather. sentiment: neutral
"	269
tweet_eval-sentiment	tweet_eval-sentiment_16_21	"What is the sentiment of the tweet? Negative, neutral, or positive?
tweet: @user Good Morning Janet Jackson Happy Saturday to you HI I am a huge fan of you how are you doing have a good weekend and Happy sentiment: positive
tweet: Congrats to @user for winning Best Male Tennis Player award at the 20th Annual ESPY Awards! I'm so glad I voted! :D sentiment: positive
tweet: Many thanks to Zac Brown for your support of the troops and the Vets---on Monday Night Football sentiment: positive
tweet: ""On Oct 29th, Vettel will drive the Infiniti Q50 Eau Rouge up &amp; down Congress Avenue in downtown Austin via @user sentiment: neutral
tweet: May not watch #RAW tonight I was already tired of Seth Rollins when he retained against Brock. Just think how big he's head going to be now. sentiment: neutral
tweet: @user Iron Maiden's new CD features a song about the R101 crash. No word yet if Charley or The 8th Doctor is mentioned. #StormWarning sentiment: neutral
tweet: @user really because on my phone it says I messaged you Nov. 21 the first night of thanksgiving break #fact sentiment: neutral
tweet: ""COME MEET ALL THE KIDS TODAY at St. Patrick's Day Parade in Downtown Cinci.  If you want to walk with us, please... sentiment: neutral
"	317
tweet_eval-sentiment	tweet_eval-sentiment_16_42	"What is the sentiment of the tweet? Negative, neutral, or positive?
tweet: ""Moving in tomorrow. Go Tesco near me... And all the takeaways, bars and DMU gym is like just there. No more excuses for me tho. #TeamGetFit"" sentiment: positive
tweet: ""Depending on how this happens, it could give Israel a fine casus-belli for intervention in Syria... sentiment: negative
tweet: If Volstead went against #Braves on a Monday\u002c he\u2019d give up 5 runs in first\u002c then cubs make a furious rally late to win #twostreaks sentiment: negative
tweet: spot price on 14KT gold is $49.08 dwt in Tampa Bay today - crazy that gold is over $1800/ounce - remember when the real price was $300.00.. sentiment: negative
tweet: Loving Friday with Jason Aldean on Today! #JasonAldeanTODAY sentiment: positive
tweet: @user @user hmmmm  November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys sentiment: neutral
tweet: modi launched yes'day.unified single portal was launched by UPA govt under the then labour minister Oscar Fernandes in Feb@IBNLivePolitics sentiment: neutral
tweet: Significant part of the migration crisis is caused by Turkey punishing Europe for the cold shoulder given to Erdogan sentiment: negative
"	332
tweet_eval-sentiment	tweet_eval-sentiment_16_87	"What is the sentiment of the tweet? Negative, neutral, or positive?
tweet: Liam is inspiring when the moon sits in the sky Liam is inspiring when the sun sits in the sky he is inspiring when they switch places too sentiment: positive
tweet: If I see any for you bitches making fun of Caitlyn Jenner you will get your ass beat by a little 5'3 girl :) sentiment: negative
tweet: Join me for Wonder on the Creative Quest at @user Ashram Yoga Retreat this November. sentiment: neutral
tweet: ""Colts owner Jim Irsay will give $64,753 to victims fund in state fair tragedy = the total number of tickets distributed at tonight's game."" sentiment: neutral
tweet: Just thinking about my 21st birthday made me realize that it's 2 weeks after St. Patty's Day. #buzzkill sentiment: neutral
tweet: #Hydrogen Car News Lexus may reveal a new hydrogen fuel cell car: Lexus has plans to reveal the new ge... #carkit sentiment: positive
tweet: @user BBC must be disappointed about """"Bloody Sunday""""!! It was years ago, when are you going to get IRA in Court? Leave our troops alone!"" sentiment: negative
tweet: ""Would never vote for Kane for president, mostly with Kim Kardashian as his wife. No way in hell is she going to be the 1st lady"" sentiment: negative
"	315
